description,serving_size,"Carbohydrate, by difference-G",Cholesterol-MG,Energy-KCAL,"Fiber, total dietary-G",Protein-G,"Sugars, total including NLEA-G",Total lipid (fat)-G,"Magnesium, Mg-MG","Vitamin C, total ascorbic acid-MG",Vitamin B-6-MG
"THE HERB CREAMY CHEESE, THE HERB",38.0,13.16,0.0,368.0,5.3,13.16,2.63,31.58,211.0,0.0,0.789
"THE CINN CINNAMON CREAMY CHEESE, THE CINN",40.0,25.0,0.0,375.0,5.0,10.0,15.0,27.5,150.0,3.0,0.75
"THE GOAT ALTERNATIVE GOAT CHEESE, THE GOAT",38.0,10.53,0.0,368.0,5.3,13.16,2.63,31.58,211.0,0.0,0.789
"WHOLE WHEAT WHITE BREAD, WHOLE WHEAT WHITE",57.0,52.63,0.0,263.0,5.3,7.02,8.77,2.63,11.0,0.0,0.0
"KETOFEAST CAFFEINE FREE KETOGENIC BALANCED SHAKE & MEAL REPLACEMENT, MAPLE, MAPLE",47.0,10.64,223.0,574.0,4.3,36.17,2.13,42.55,34.0,19.1,0.851
"CARROT CAKE ENERGY BAR, CARROT CAKE",68.0,66.18,0.0,368.0,5.9,13.24,36.76,6.62,118.0,5.3,0.294
"SPICY ORGANIC SAUCE, SPICY",125.0,12.0,0.0,88.0,4.8,2.4,5.6,4.0,27.0,4.0,0.24
"CHOCOLATE CHIP MINIS SNACK-SIZE BARS, CHOCOLATE CHIP",28.0,64.29,0.0,357.0,7.1,14.29,32.14,7.14,114.0,4.3,0.286
"SWEET VANILLA PROTEIN & PROBIOTIC SHAKE MIX, SWEET VANILLA",33.0,36.36,121.0,364.0,18.2,45.45,9.09,7.58,121.0,54.5,1.03
KELLOGG APPLE JACKS .9OZ 100CT,25.0,87.8,0.0,370.0,10.9,5.2,35.9,3.7,28.0,54.0,1.79
GARDENBURGER GB VEGGIE BURGERS BLACK BEAN 3OZ 48CT,85.0,16.9,0.0,112.0,7.4,10.8,1.5,3.0,53.0,0.0,0.08
Keebler Cones Waffle Cone 264ct,14.0,88.0,0.0,423.0,4.9,6.0,31.0,5.0,19.0,0.0,0.0
Keebler Cones Waffle Bowl 60ct,19.0,87.7,0.0,424.0,1.8,6.5,31.6,5.3,15.0,0.0,0.03
Keebler Cones Waffle Cone 264ct,14.0,88.0,0.0,423.0,4.9,6.0,31.0,5.0,19.0,0.0,0.0
SUNSHINE KRISPY SALTINES .4OZ,12.0,76.4,0.0,416.0,2.7,10.1,3.0,8.5,22.0,0.0,0.04
Keebler Cones Waffle Cone 216ct,23.0,88.0,0.0,423.0,4.9,6.0,31.0,5.0,19.0,0.0,0.0
Keebler Cones Waffle Cone 198ct,23.0,88.0,0.0,423.0,4.9,6.0,31.0,5.0,19.0,0.0,0.0
Keebler Cones Waffle Cone 216ct,23.0,88.0,0.0,423.0,4.9,6.0,31.0,5.0,19.0,0.0,0.0
Keebler Cones Cake 98.4oz,5.0,84.4,0.0,397.0,2.7,8.8,2.3,2.7,0.0,0.0,0.0
Keebler Cones Cake 600ct,5.0,84.4,0.0,397.0,2.7,8.8,2.3,2.7,0.0,0.0,0.0
Keebler Cones Cake 1000ct,5.0,84.4,0.0,397.0,2.7,8.8,2.3,2.7,0.0,0.0,0.0
Cinnamon Toast Crunch Cereal,31.0,80.65,0.0,419.0,6.5,3.23,29.03,9.68,52.0,19.4,1.613
GMILLS APPLE CINN CHEERIOS SWEETENED WHL GRN OAT CEREAL FAMILY SZ,28.0,78.57,0.0,393.0,7.1,7.14,32.14,5.36,86.0,21.4,1.786
Cinnamon Toast Crunch Cereal,31.0,80.65,0.0,419.0,6.5,3.23,29.03,9.68,52.0,19.4,1.613
"Cheerios Cereal, Family Size",28.0,71.43,0.0,357.0,10.7,10.71,3.57,7.14,114.0,21.4,1.786
GMILLS HNY NUT CHEERIOS SWEETENED WHL GRN OAT CEREAL,28.0,78.57,0.0,393.0,7.1,7.14,32.14,5.36,86.0,21.4,1.786
Reese's Puffs Cereal,29.0,75.86,0.0,414.0,3.4,6.9,31.03,10.34,55.0,20.7,1.724
GMILLS REESES PUFFS CORN PUFFS CEREAL GNT SZ,29.0,75.86,0.0,414.0,3.4,6.9,31.03,10.34,55.0,20.7,1.724
GMILLS CHEERIOS SWEETENED WHL GRN OAT CEREAL STRWBRY FAMILY SZ,28.0,78.57,0.0,393.0,7.1,7.14,28.57,5.36,86.0,21.4,1.786
GMILLS CHEERIOS SWEETENED WHL GRN OAT CEREAL PUMPKIN SPICE,28.0,78.57,0.0,393.0,7.1,7.14,28.57,7.14,86.0,21.4,1.786
GMILLS OATMEAL CRISP FLAKES CLUSTER CEREAL HEARTY RAISINS,62.0,79.03,0.0,371.0,8.1,8.06,25.81,4.03,65.0,0.0,0.645
Reese's Peanut Butter Puffs Cereal,29.0,75.86,0.0,414.0,3.4,6.9,31.03,10.34,55.0,20.7,1.724
GMILLS TINY TOAST SWEETENED CEREAL STRWBRY,28.0,78.57,0.0,429.0,3.6,7.14,32.14,10.71,57.0,21.4,1.786
GMILLS CHEERIOS SWEETENED CRN OAT CEREAL BANANA NUT,28.0,78.57,0.0,393.0,7.1,7.14,28.57,5.36,86.0,21.4,1.786
GMILLS CHEERIOS SWEETENED CRN OAT CEREAL BANANA NUT,28.0,78.57,0.0,393.0,7.1,7.14,28.57,5.36,86.0,21.4,1.786
GMILLS CHOC CHEERIOS WHL GRN OAT CEREAL FAMILY SZ,27.0,77.78,0.0,370.0,7.4,11.11,29.63,5.56,89.0,22.2,1.852
GMILLS GLDN GRAHAMS TREATS BARS PNT BTR CHOC,66.0,69.7,0.0,424.0,3.0,6.06,36.36,15.15,12.0,5.5,0.303
GMILLS FRTY CHEERIOS SWEETENED WHL GRN OAT CEREAL FAMILY SZ,27.0,77.78,0.0,370.0,7.4,7.41,29.63,5.56,89.0,22.2,1.852
GMILLS CHEERIOS CEREAL RTE PUMPKIN SPICE,28.0,78.57,0.0,393.0,7.1,7.14,28.57,7.14,86.0,21.4,1.786
Honey Nut Cheerios Cereal,28.0,78.57,0.0,393.0,7.1,7.14,32.14,5.36,86.0,21.4,1.786
Lays Wavy Au Gratin 9.5z,28.0,53.57,0.0,571.0,3.6,7.14,7.14,35.71,57.0,21.4,0.571
"KARO, CORN SYRUP, LIGHT, 1GAL",41.22,73.28,0.0,293.0,0.0,0.0,24.21,0.0,0.0,0.0,0.0
"KARO, CORN SYRUP, DARK, 5GAL",40.95,72.32,0.0,289.0,0.1,0.04,23.58,0.09,5.0,0.0,0.0
"KARO, CORN SYRUP, DARK, 620LB",40.95,72.32,0.0,289.0,0.1,0.04,23.58,0.09,5.0,0.0,0.0
"KARO, PANCAKE SYRUP, 16FO",82.14,72.67,0.0,291.0,0.0,0.0,27.94,0.0,0.0,0.0,0.0
"KARO, CORN SYRUP, LIGHT, 5GAL",41.22,73.28,0.0,293.0,0.0,0.0,24.21,0.0,0.0,0.0,0.0
"KARO, PANCAKE SYRUP, 32FO",82.14,72.67,0.0,291.0,0.0,0.0,27.94,0.0,0.0,0.0,0.0
"KARO, CORN SYRUP, LIGHT, NO HFCS, 620LB",41.22,73.28,0.0,293.0,0.0,0.0,24.21,0.0,0.0,0.0,0.0
"KARO, CORN SYRUP, DARK, 1GAL",40.95,72.32,0.0,289.0,0.1,0.04,23.58,0.09,5.0,0.0,0.0
OATMEAL WITH FLAX,35.0,71.43,0.0,371.0,8.6,11.43,25.71,5.71,91.0,6.9,1.143
"MILLVILLE, HONEY WHEAT PUFFS",27.0,88.89,0.0,370.0,3.7,7.41,55.56,0.0,59.0,22.2,1.852
COCOA RICE,29.0,89.66,0.0,414.0,0.0,3.45,44.83,3.45,28.0,0.0,1.724
"KALE CHIPS, GLACIER PEAK GREENS",28.0,39.29,0.0,443.0,10.7,25.0,3.57,25.0,371.0,357.9,5.071
KALE CHIPS,28.0,42.86,0.0,393.0,3.6,17.86,10.71,25.0,243.0,321.4,6.0
KALE CHIPS,28.0,39.29,0.0,439.0,10.7,17.86,3.57,25.0,257.0,270.0,4.714
VEGANIC SPROUTED BROWN RICE CACAO CRISPS,30.0,66.67,0.0,300.0,3.3,6.67,26.67,3.33,80.0,8.0,0.4
VEGANIC SPROUTED ANCIENT GRAIN O'S,30.0,70.0,0.0,367.0,6.7,10.0,6.67,1.67,53.0,0.0,0.267
EXTRA RAISIN BRAIN CEREAL,56.0,76.79,0.0,357.0,10.7,7.14,37.5,1.79,107.0,10.7,0.893
"WHITE ROSE, CEREAL TOASTED OATS",30.0,76.67,0.0,400.0,10.0,13.33,6.67,3.33,133.0,50.0,1.667
"HARRIS TEETER, SHREDDED WHEAT CEREAL",55.0,81.82,0.0,345.0,10.9,9.09,20.0,1.82,109.0,0.0,0.909
"HERR'S, POTATO CHIPS, HONEY BBQ",28.0,50.0,0.0,536.0,3.6,7.14,14.29,35.71,57.0,21.4,0.429
"BITE SITE FROSTED SHREDDED WHEAT, CEREAL",52.0,80.77,0.0,385.0,9.6,7.69,21.15,1.92,77.0,0.0,0.962
COCOA BITES SWEETENED RICE CEREAL WITH REAL COCOA,29.0,89.66,0.0,414.0,0.0,3.45,44.83,3.45,28.0,0.0,1.724
GOLDEN HONEY PUFFS,27.0,88.89,0.0,407.0,0.0,7.41,55.56,0.0,59.0,22.2,1.852
TOASTED CRISPY RICE CEREAL,33.0,87.88,0.0,394.0,0.0,9.09,12.12,0.0,24.0,45.5,1.515
PISTACHIOS,30.0,26.67,0.0,533.0,10.0,20.0,6.67,46.67,133.0,0.0,1.333
"HARRIS TEETER, MUESLI WITH DATES, RAISINS & ALMONDS",55.0,74.55,0.0,382.0,7.3,9.09,21.82,5.45,73.0,21.8,3.636
"HARRIS TEETER, GRANOLA WITH RAISINS",55.0,81.82,0.0,400.0,5.5,7.27,27.27,4.55,73.0,0.0,3.636
"HARRIS TEETER, TOASTED MULTIGRAIN CEREAL WITH HONEY OAT CLUSTERS",32.0,84.38,0.0,375.0,6.2,6.25,18.75,3.12,50.0,18.8,1.562
WHOLE WHEAT PASTA RIGATONI,57.0,61.4,0.0,351.0,7.0,15.79,1.75,2.63,105.0,0.0,0.351
SPROUTED WHOLE GRAIN LITTLE BIG BREAD,43.0,46.51,0.0,256.0,11.6,16.28,2.33,2.33,74.0,0.0,0.279
"WEIS, WHEAT BRAN FLAKES, WHOLE GRAIN WHEAT CEREAL WITH BRAN",29.0,79.31,0.0,310.0,17.2,10.34,17.24,1.72,138.0,206.9,6.897
"WEIS, CHOCOLATE TOASTED CORN & OATS CEREAL",27.0,81.48,0.0,370.0,7.4,3.7,33.33,5.56,59.0,55.6,1.852
"WEIS QUALITY, MULTIGRAIN TOASTED OATS",29.0,79.31,0.0,379.0,10.3,6.9,20.69,5.17,83.0,20.7,1.724
TOASTED OATS WHOLE GRAIN OAT CEREAL,30.0,76.67,0.0,400.0,10.0,13.33,6.67,3.33,133.0,50.0,1.667
"POST, HONEY BUNCHES OF OATS, FRUIT BLENDS CEREAL, PEACH FLAKES, RASPBERRY GRANOLA CLUSTERS",30.0,83.33,0.0,400.0,3.3,6.67,20.0,5.0,53.0,0.0,1.667
"WEIS, LOW FAT GRANOLA",55.0,80.0,0.0,400.0,7.3,9.09,29.09,5.45,73.0,10.9,1.818
"WEIS, TASTED CRISP RICE CEREAL",33.0,87.88,0.0,394.0,0.0,6.06,12.12,0.0,24.0,45.5,1.515
"WEIS, KOO-KIES!, SWEETENED CORN CEREAL, WITH NATURAL AND ARTIFICIAL FLAVORS",26.0,84.62,0.0,385.0,3.8,3.85,38.46,3.85,0.0,23.1,1.923
"WEIS, APPLE DAPPLES, SWEETENED MULTI-GRAIN CEREAL",28.0,89.29,0.0,357.0,10.7,3.57,39.29,1.79,29.0,53.6,1.786
PB COCOA SPHERES SWEETENED CRUNCHY CORN CEREAL,29.0,75.86,0.0,414.0,6.9,6.9,31.03,10.34,83.0,20.7,1.724
SHREDDED WHEAT STRAWBERRY CREAM FROSTED LIGHTLY SWEETENED WHOLE GRAIN WHEAT CEREAL,55.0,81.82,0.0,345.0,10.9,9.09,20.0,1.82,109.0,0.0,0.909
"WEIS, SHREDDED WHEAT, BITE SIZE, 100% NATURAL WHOLE GRAIN CEREAL",50.0,80.0,0.0,340.0,12.0,12.0,0.0,2.0,120.0,0.0,0.0
"MILLVILLE, FROSTED SHREDDED WHEAT CEREAL",52.0,80.77,0.0,385.0,9.6,7.69,21.15,1.92,77.0,0.0,0.962
"MILLVILLE, FROSTED SHREDDED WHEAT CEREAL, BLUEBERRY",55.0,81.82,0.0,345.0,10.9,9.09,20.0,1.82,109.0,0.0,0.909
SPROUTED WHOLE GRAIN BREAD,37.0,45.95,0.0,270.0,10.8,16.22,2.7,2.7,86.0,0.0,0.324
"UTZ, KETTLE COOKED POTATO CHIPS",28.0,57.14,0.0,536.0,7.1,7.14,7.14,32.14,57.0,21.4,0.286
"WEIS, SMOKED ALMONDS",28.0,17.86,0.0,607.0,10.7,21.43,3.57,53.57,286.0,0.0,0.0
"KIGGINS, INSTANT OATMEAL, MAPLE, BROWN SUGAR",43.0,74.42,0.0,372.0,7.0,9.3,30.23,4.65,93.0,0.0,0.93
"SMART SELECTIONS, LOW FAT GRANOLA CEREAL WITH RAISINS",55.0,80.0,0.0,400.0,7.3,9.09,29.09,5.45,73.0,10.9,1.818
"NATURE'S CRUNCH, CRUNCHY RAISIN BRAN GRANOLA",53.0,83.02,0.0,358.0,7.5,5.66,37.74,1.89,75.0,0.0,0.943
"NATURE'S CRUNCH, RAISIN BRAN CEREAL",59.0,76.27,0.0,373.0,10.2,8.47,33.9,2.54,136.0,0.0,0.847
OATS & MORE WITH HONEY CEREAL,32.0,84.38,0.0,375.0,6.2,6.25,18.75,3.12,50.0,18.8,1.562
OATS & MORE WITH ALMONDS CEREAL,32.0,81.25,0.0,406.0,6.2,9.38,18.75,6.25,50.0,18.8,1.562
INSTANT OATMEAL,43.0,76.74,0.0,349.0,7.0,6.98,32.56,3.49,93.0,0.0,0.93
INSTANT OATMEAL,35.0,77.14,0.0,371.0,8.6,8.57,25.71,4.29,114.0,0.0,1.143
"SAVE-A-LOT, CRUNCH CEREAL, CHOCOLATE CHIP",26.0,84.62,0.0,385.0,3.8,3.85,38.46,3.85,0.0,23.1,1.923
"COCOA DIAMONDS, SWEETENED RICE CEREAL",29.0,89.66,0.0,414.0,0.0,3.45,44.83,3.45,28.0,0.0,1.724
"APPLE BOBBERS, SWEETENED MULTI-GRAIN CEREAL, APPLE + CINNAMON",33.0,90.91,0.0,394.0,3.0,3.03,48.48,3.03,24.0,18.2,1.515
INSTANT OATMEAL,35.0,77.14,0.0,371.0,5.7,8.57,34.29,5.71,69.0,0.0,1.143
GREEK YOGURT + WHOLE GRAIN,58.0,81.03,0.0,397.0,6.9,8.62,22.41,6.03,69.0,0.0,0.862
"POST, GREAT GRAINS, WHOLE GRAIN CEREAL DIGESTIVE BLEND, VANILLA GRAHAM",53.0,77.36,0.0,377.0,13.2,11.32,15.09,5.66,113.0,0.0,0.151
"POST, OATS",58.0,81.03,0.0,397.0,6.9,8.62,22.41,6.03,69.0,0.0,0.862
"GREAT VALUE, MULTI-GRAIN FLAKES CEREAL",30.0,83.33,0.0,400.0,10.0,10.0,16.67,3.33,107.0,200.0,6.667
"VEGGIE PATCH, TUSCAN MEATLESS MEATBALLS",84.0,13.1,0.0,167.0,3.6,17.86,1.19,5.95,19.0,0.0,0.357
CHOCOLATE DRINK MIX,25.0,88.0,0.0,400.0,0.0,4.0,76.0,2.0,240.0,192.0,2.0
DRINK MIX,25.0,88.0,0.0,400.0,0.0,4.0,76.0,2.0,240.0,192.0,2.0
"GOOD HEALTH, VEGGIE STIX, SEA SLAT",28.0,64.29,0.0,429.0,0.0,3.57,0.0,17.86,29.0,53.6,1.429
"MESQUITE BBQ FLAVORED POTATO CHIPS, MESQUITE BBQ",28.0,53.57,0.0,536.0,3.6,7.14,7.14,35.71,57.0,21.4,0.286
POTATO CHIPS,28.0,53.57,0.0,536.0,3.6,7.14,10.71,35.71,57.0,21.4,0.429
PISTACHIOS,30.0,26.67,0.0,533.0,10.0,20.0,6.67,46.67,133.0,0.0,1.333
RAISIN BRAN CEREAL,56.0,80.36,0.0,375.0,12.5,7.14,32.14,1.79,143.0,10.7,0.893
DELUXE MIXED NUTS,28.0,21.43,0.0,607.0,7.1,17.86,3.57,53.57,214.0,0.0,0.0
INSTANT OATMEAL,43.0,53.49,0.0,256.0,7.0,6.98,13.95,3.49,93.0,0.0,0.93
"HARRIS TEETER, CREAMY PEANUT SPREAD",35.0,37.14,0.0,543.0,8.6,20.0,11.43,34.29,171.0,0.0,0.343
POTATO CHIPS,28.0,53.57,0.0,571.0,3.6,3.57,3.57,35.71,57.0,32.1,0.714
"WEIS QUALITY, CINNI-MINI CRUNCH, SWEETENED WHEAT AND RICE CEREAL WITH CINNAMON",30.0,80.0,0.0,433.0,3.3,3.33,33.33,11.67,27.0,20.0,1.667
"MILLVILLE, SWEETENED MULTI-GRAIN CEREAL MADE WITH NATURAL FRUIT FLAVORS WITH OTHER NATURAL FLAVORS",29.0,86.21,0.0,379.0,10.3,3.45,37.93,3.45,28.0,51.7,1.724
CASHEWS MADE WITH SEA SALT,28.0,28.57,0.0,571.0,3.6,17.86,3.57,46.43,286.0,0.0,0.0
MIXED NUTS LIGHTLY SALTED,28.0,17.86,0.0,607.0,7.1,21.43,3.57,53.57,214.0,0.0,0.0
MIXED NUTS,28.0,17.86,0.0,571.0,7.1,21.43,3.57,53.57,214.0,0.0,0.0
PREMIUM PITTED PRUNES,40.0,62.5,0.0,250.0,7.5,2.5,32.5,0.0,20.0,0.0,0.3
CALIFORNIA RAISINS,40.0,77.5,0.0,325.0,5.0,2.5,65.0,0.0,40.0,0.0,0.2
"KEY FOOD, RAISIN BRAN CEREAL",56.0,80.36,0.0,375.0,12.5,8.93,32.14,1.79,143.0,10.7,0.893
"KEY FOOD, CRISP RICE CEREAL",33.0,87.88,0.0,364.0,0.0,6.06,9.09,0.0,24.0,45.5,1.515
"KEY FOOD, FROSTED SHREDDED WHEAT BITE SIZE CEREAL",52.0,80.77,0.0,385.0,9.6,7.69,21.15,1.92,77.0,0.0,0.962
"KEY FOOD, TOASTED OATS CEREAL",30.0,76.67,0.0,400.0,10.0,13.33,6.67,3.33,133.0,50.0,1.667
"POST, CEREAL, APPLE",27.0,77.78,0.0,407.0,7.4,11.11,3.7,5.56,119.0,22.2,1.852
"POST, HONEY BUNCHES OF OATS, FRUIT BLENDS CEREAL, BANANA BLUEBERRY",30.0,83.33,0.0,400.0,3.3,6.67,20.0,5.0,53.0,0.0,1.667
"KEY FOOD, INSTANT SUGAR FREE OATMEAL, MAPLE 'N BROWN SUGAR",28.0,64.29,0.0,357.0,10.7,14.29,0.0,7.14,143.0,0.0,1.429
"KEY FOOD, INSTANT OATMEAL, STRAWBERRIES 'N CREAM",35.0,77.14,0.0,371.0,5.7,8.57,37.14,5.71,69.0,0.0,1.143
"KEY FOOD, INSTANT OATMEAL, ORIGINAL",28.0,64.29,0.0,357.0,10.7,14.29,3.57,5.36,143.0,0.0,1.429
"KEY FOOD, INSTANT OATMEAL, PEACHES 'N CREAM",35.0,77.14,0.0,371.0,5.7,8.57,37.14,5.71,69.0,0.0,1.143
"KEY FOOD, INSTANT OATMEAL, CINNAMON ROLL",43.0,74.42,0.0,372.0,7.0,11.63,30.23,4.65,93.0,0.0,0.93
"KEY FOOD, INSTANT OATMEAL, MAPLE 'N BROWN SUGAR",43.0,74.42,0.0,372.0,7.0,9.3,30.23,4.65,93.0,0.0,0.93
"MCCANN'S, INSTANT IRISH OATMEAL, APPLE, CINNAMON",35.0,77.14,0.0,371.0,8.6,8.57,34.29,4.29,91.0,0.0,1.143
OATMEAL WITH FLAX,35.0,77.14,0.0,371.0,5.7,8.57,34.29,5.71,114.0,6.9,1.143
"BETTER OATS, INSTANT OATMEAL WITH FLAX",43.0,74.42,0.0,372.0,7.0,9.3,30.23,5.81,93.0,0.0,0.93
"BETTER OATS, OAT FIT, INSTANT OATMEAL WITH FLAX, MAPLE & BROWN SUGAR",28.0,64.29,0.0,357.0,10.7,10.71,3.57,7.14,214.0,0.0,1.429
WAVY POTATO CHIPS,28.0,50.0,0.0,536.0,3.6,7.14,0.0,32.14,57.0,21.4,0.429
"UTZ, NATURAL KETTLE COOKED GOURMET POTATO CHIPS",28.0,64.29,0.0,464.0,3.6,7.14,0.0,21.43,57.0,32.1,0.0
POTATO CHIPS,28.0,50.0,0.0,536.0,3.6,7.14,3.57,32.14,57.0,21.4,0.286
"UTZ, POTATO CHIPS, BAR-B-Q",28.0,50.0,0.0,536.0,3.6,7.14,3.57,35.71,29.0,0.0,0.286
"SHOP RITE, OAT CLUSTERS WITH ALMONDS, MULTI-GRAIN CEREAL, HONEY",32.0,81.25,0.0,406.0,6.2,9.38,18.75,6.25,50.0,18.8,1.562
"SHOP RITE, SCRUNCHY, FRUITY FLOATS, SWEETENED MULTI-GRAIN CEREAL, ORANGE, LEMON, CHERRY, LIME & BERRY",29.0,86.21,0.0,379.0,10.3,3.45,37.93,3.45,28.0,51.7,1.724
"SHOP RITE, TOASTED CORN CEREAL WITH HONEY & NATURAL ALMOND, CRISPY HONEY NUT",32.0,87.5,0.0,375.0,3.1,6.25,28.12,2.03,0.0,18.8,1.562
"SHOP RITE, SCRUNCHY, SWEETENED CEREAL, MINI COOKIE BITES",26.0,84.62,0.0,385.0,3.8,3.85,38.46,3.85,0.0,23.1,1.923
"LITTLE SALAD BAR, ORIGINAL GUACAMOLE",30.0,10.0,0.0,200.0,6.7,3.33,0.0,16.67,27.0,4.0,0.4
"CINNI-MINI CRUNCH, SWEETENED WHEAT AND RICE CEREAL",30.0,80.0,0.0,433.0,3.3,3.33,33.33,11.67,27.0,20.0,1.667
"HONEY OATS & FLAKES WITH STRAWBERRIES, STRAWBERRIES",42.0,83.33,0.0,381.0,4.8,7.14,26.19,3.57,57.0,11.4,1.19
HONEY NUT TOASTED OATS,37.0,81.08,0.0,378.0,5.4,8.11,32.43,5.41,0.0,16.2,1.351
"THIN 'N TRIM, GOURMET CHICKEN HOT DOGS",56.0,1.79,36.0,125.0,0.0,19.64,0.0,4.46,36.0,3.2,0.536
"ORCHARD CHOICE, BLUE RIBBON, MISSION FIGS",40.0,65.0,0.0,275.0,12.5,2.5,50.0,0.0,60.0,0.0,0.3
NEW ZEALAND PROTEIN SMOOTHIE POWDER,40.0,47.5,25.0,350.0,10.0,35.0,35.0,6.25,250.0,150.0,5.0
NEW ZEALAND PROTEIN SMOOTHIE POWDER,40.0,47.5,25.0,350.0,12.5,35.0,32.5,6.25,250.0,150.0,5.0
WHOLE GRAIN MILLET,55.0,76.36,0.0,382.0,5.5,9.09,0.0,4.55,109.0,0.0,0.291
"SUN-MAID, CALIFORNIA MISSION FIGS",40.0,65.0,0.0,275.0,12.5,2.5,50.0,0.0,60.0,0.0,0.3
"MARIANI, MEDITERRANEAN APRICOTS",40.0,62.5,0.0,275.0,5.0,2.5,37.5,0.0,40.0,0.0,0.2
"ROUNDY'S, HONEY NUT TASTEEOS, SWEETENED TOASTED OAT CEREAL, ALMOND",28.0,78.57,0.0,393.0,7.1,7.14,32.14,5.36,86.0,21.4,1.786
"ROUNDY'S, RAISIN BRAN CEREAL",59.0,77.97,0.0,322.0,11.9,6.78,28.81,1.69,136.0,0.0,0.847
"ROUNDY'S, FIBER ACTIVE, BRAN CEREAL",30.0,83.33,0.0,200.0,46.7,6.67,0.0,3.33,133.0,20.0,1.667
"ROUNDY'S, TASTEEOS, SWEETENED TOASTED OAT CEREAL, TASTEEOS, APPLE, CINNAMON",30.0,80.0,0.0,400.0,6.7,6.67,36.67,5.0,53.0,20.0,1.667
"ROUNDY'S, BRAN FLAKES WHOLE GRAIN WHEAT CEREAL",29.0,79.31,0.0,310.0,17.2,10.34,17.24,1.72,138.0,206.9,6.897
ORGANIC WHOLE GRAIN QUINOA,46.0,69.57,0.0,391.0,4.3,15.22,0.0,5.43,217.0,0.0,0.435
"ROUNDY'S, FROSTED SHREDDED WHEAT CEREAL",55.0,81.82,0.0,345.0,10.9,9.09,20.0,1.82,109.0,0.0,0.909
TOASTED MULTI-GRAIN CEREAL WITH HONEY OAT CLUSTERS,32.0,84.38,0.0,375.0,6.2,6.25,18.75,3.12,50.0,18.8,1.562
BRAN FLAKES,29.0,79.31,0.0,310.0,17.2,10.34,17.24,1.72,138.0,206.9,6.897
OATS & HONEY WITH STRAWBERRIES TOASTED MULTIGRAIN CEREAL WITH CLUSTERS,42.0,83.33,0.0,381.0,4.8,7.14,26.19,3.57,57.0,11.4,1.19
"FOOD CLUB, FRUIT FRENZY, FRUIT",29.0,86.21,0.0,379.0,10.3,3.45,37.93,3.45,28.0,51.7,1.724
TOASTED MULTI-GRAIN CEREAL WITH ALMONDS & HONEY OAT CLUSTERS,32.0,81.25,0.0,406.0,6.2,9.38,18.75,6.25,50.0,18.8,1.562
"FOOD CLUB, APPLE LOONS, SWEETENED MULTI-GRAIN CEREAL, APPLE",28.0,89.29,0.0,357.0,10.7,3.57,39.29,1.79,29.0,53.6,1.786
"APPLES & CINNAMON INSTANT OATMEAL, APPLES & CINNAMON",35.0,77.14,0.0,371.0,8.6,8.57,25.71,4.29,114.0,0.0,1.143
REGULAR FLAVOR INSTANT OATMEAL,28.0,67.86,0.0,357.0,10.7,10.71,0.0,7.14,143.0,0.0,1.429
"MAPLE & BROWN SUGAR INSTANT OATMEAL, MAPLE & BROWN SUGAR",34.0,70.59,0.0,353.0,8.8,11.76,11.76,5.88,176.0,0.0,1.176
"FOOD CLUB, INSTANT OATMEAL, MAPLE & BROWN SUGAR",28.0,67.86,0.0,357.0,10.7,10.71,0.0,7.14,143.0,0.0,1.429
CINNAMON ROLL INSTANT OATMEAL,43.0,74.42,0.0,372.0,7.0,9.3,20.93,4.65,140.0,0.0,0.93
"ROUNDY'S, TASTEEOS, TOASTED OAT CEREAL",28.0,75.0,0.0,357.0,10.7,10.71,3.57,5.36,143.0,21.4,1.786
"ROUNDY'S, TASTEEOS, TOASTED CORN & OAT CEREAL, CHOCOLATE",27.0,81.48,0.0,370.0,7.4,3.7,33.33,5.56,59.0,55.6,1.852
"ROUNDY'S, CRISPY RICE, TOASTED PUFFS OF CRISP RICE",33.0,87.88,0.0,394.0,0.0,6.06,12.12,0.0,24.0,45.5,1.515
SWEETENED WHEATFULS,55.0,81.82,0.0,382.0,10.9,9.09,20.0,1.82,73.0,0.0,0.291
"FOOD CLUB, RAISIN BRAN CEREAL",59.0,77.97,0.0,322.0,11.9,6.78,28.81,1.69,136.0,0.0,0.847
"FOOD CLUB, TOASTED OATS, TOASTED WHOLE GRAIN OAT CEREAL, ORIGINAL",28.0,75.0,0.0,357.0,10.7,10.71,3.57,5.36,143.0,21.4,1.786
INSTANT OATMEAL,54.0,77.78,0.0,370.0,7.4,9.26,38.89,3.7,74.0,0.0,0.741
WHOLE GRAIN CEREAL,59.0,71.19,0.0,390.0,11.9,10.17,16.95,8.47,102.0,0.0,0.847
"SHOPRITE, RAISIN BRAN CEREAL",59.0,77.97,0.0,322.0,11.9,6.78,28.81,1.69,136.0,0.0,0.847
"RAWXIES, COOKIE, LEMON POPPY SEED",47.0,48.94,0.0,351.0,8.5,8.51,25.53,14.89,136.0,5.1,0.17
SPROUTED WHOLE GRAINS BREAD MACK'S FLAX,41.0,41.46,0.0,268.0,12.2,14.63,2.44,3.66,98.0,0.0,0.732
BREAD WITH A GOOD SOURCE OF FIBER AND MADE WITH CHIA SEEDS,35.0,48.57,0.0,200.0,11.4,5.71,5.71,2.86,0.0,0.0,0.0
"OZERY BAKERY, WHOLE WHEAT THIN SANDWICH BUNS",40.0,50.0,0.0,250.0,5.0,10.0,5.0,1.25,60.0,0.0,0.1
